Opening Name,Line
Undefined,
King's Pawn Opening,1.e4
King's Fianchetto Opening,1.g3
Nimzowitsch-Larsen Attack,1.b3
Grob Opening,1.g4
Bird's Opening,1.f4
Mieses Opening,1.d3
Van 't Kruijs Opening,1.e3
Van Geet Opening,1.Nc3
Polish Opening,1.b4
Queen's Pawn Opening,1.d4
English Opening,1.c4
Réti Opening,1.Nf3
Anderssen Opening,1.a3
King's Fianchetto Opening: Sicilian Invitation,1.g3 c5
Réti Opening: Dutch Variation,1.Nf3 f5
French Defense,1.e4 e6
Nimzowitsch-Larsen Attack: Modern Variation,1.b3 e5
Sicilian Defense,1.e4 c5
Queen's Pawn Opening: Horwitz Defense,1.d4 e6
Old Benoni Defense,1.d4 c5
Queen's Pawn Opening: Mikėnas Defense,1.d4 Nc6
English Opening: Anglo-Dutch Defense,1.c4 f5
Modern Defense with 1.e4,1.e4 g6
English Opening: King's English Variation,1.c4 e5
Scandinavian Defense,1.e4 d5
Queen's Pawn Opening: St. George Defense,1.d4 a6
Réti Opening: Dutch Variation,1.Nf3 f5
French Defense,1.e4 e6
Nimzowitsch-Larsen Attack: Modern Variation,1.b3 e5
Sicilian Defense,1.e4 c5
Modern Defense with 1.e4,1.e4 g6
King's Fianchetto Opening: Sicilian Invitation,1.g3 c5
English Opening: King's English Variation,1.c4 e5
Queen's Pawn Opening: Horwitz Defense,1.d4 e6
English Opening: Anglo-Dutch Defense,1.c4 f5
Queen's Pawn Opening: Mikėnas Defense,1.d4 Nc6
Old Benoni Defense,1.d4 c5
Bird's Opening: Dutch Variation,1.f4 d5
Nimzowitsch-Larsen Attack: Indian Variation,1.b3 Nf6
Englund Gambit,1.d4 e5
Owen's Defense,1.e4 b6
Caro-Kann Defense,1.e4 c6
King's Fianchetto Opening: Symmetrical Variation,1.g3 g6
Queen's Pawn Opening: Polish Defense,1.d4 b5
English Opening: Symmetrical Variation,1.c4 c5
English Opening: Great Snake Variation,1.c4 g6
King's Fianchetto Opening: Indian Defense,1.g3 Nf6
Indian Game,1.d4 Nf6
Réti Opening: Queen's Gambit Invitation,1.Nf3 e6
Alekhine's Defense,1.e4 Nf6
Réti Opening: Queenside Fianchetto Variation,1.Nf3 b6
English Opening: Agincourt Defense,1.c4 e6
Nimzowitsch-Larsen Attack: English Variation,1.b3 c5
Modern Defense with 1.d4,1.d4 g6
Nimzowitsch Defense,1.e4 Nc6
Dutch Defense,1.d4 f5
King's Gambit,1.e4 e5 2.f4
French Defense: Chigorin Variation,1.e4 e6 2.Qe2
Réti Opening: Réti Gambit,1.Nf3 d5 2.c4
Dutch Defense: Staunton Gambit,1.d4 f5 2.e4
Queen's Pawn Opening: Tartakower Variation,1.d4 d6 2.Nf3
"Pirc Defense: Modern Defense, Geller System",1.e4 d6 2.Nf3
French Defense: Steiner Variation,1.e4 e6 2.c4
Sicilian Defense: Wing Gambit,1.e4 c5 2.b4
French Defense: King's Indian Attack,1.e4 e6 2.d3
Vienna Game,1.e4 e5 2.Nc3
French Defense: Queen's Knight Variation,1.e4 e6 2.Nc3
Réti Opening: Quiet System,1.Nf3 Nf6 2.e3
Bishop's Opening,1.e4 e5 2.Bc4
Indian Game: Tartakower Attack,1.d4 Nf6 2.g3
Sicilian Defense: Cowboy Attack,1.e4 c5 2.b3
Scandinavian Defense: Closed,1.e4 d5 2.Nc3
Center Game,1.e4 e5 2.d4
Queen's Pawn Opening: Chigorin Variation,1.d4 d5 2.Nc3
Réti Opening: Nimzo-Larsen Variation,1.Nf3 Nf6 2.b3
Sicilian Defense: Mengarini Variation,1.e4 c5 2.a3
King's Gambit,1.e4 e5 2.f4
Sicilian Defense: Smith-Morra Gambit,1.e4 c5 2.d4
Queen's Pawn Opening: Accelerated London System,1.d4 d5 2.Bf4
Caro-Kann Defense: Accelerated Panov Attack,1.e4 c6 2.c4
French Defense: Horwitz Attack,1.e4 e6 2.b3
Dutch Defense: Fianchetto Attack,1.d4 f5 2.g3
Bishop's Opening,1.e4 e5 2.Bc4
Réti Opening: Quiet System,1.Nf3 Nf6 2.e3
French Defense: Queen's Knight Variation,1.e4 e6 2.Nc3
Vienna Game,1.e4 e5 2.Nc3
French Defense: King's Indian Attack,1.e4 e6 2.d3
Sicilian Defense: Wing Gambit,1.e4 c5 2.b4
French Defense: Steiner Variation,1.e4 e6 2.c4
"Pirc Defense: Modern Defense, Geller System",1.e4 d6 2.Nf3
Queen's Pawn Opening: Tartakower Variation,1.d4 d6 2.Nf3
Dutch Defense: Staunton Gambit,1.d4 f5 2.e4
Réti Opening: Réti Gambit,1.Nf3 d5 2.c4
French Defense: Normal Variation,1.e4 e6 2.d4
Indian Game: Knights Variation,1.Nf3 Nf6 2.d4
English Opening: Reversed Sicilian Variation,1.c4 e5 2.Nc3
Réti Opening: King's Indian Attack,1.Nf3 Nf6 2.g3
Closed Sicilian Defense,1.e4 c5 2.Nc3
Queen's Pawn Opening: Zukertort Variation,1.d4 d5 2.Nf3
Indian Game: Knights Variation,1.Nf3 Nf6 2.d4
English Opening: Reversed Sicilian Variation,1.c4 e5 2.Nc3
Réti Opening: King's Indian Attack,1.Nf3 Nf6 2.g3
Closed Sicilian Defense,1.e4 c5 2.Nc3
French Defense: Normal Variation,1.e4 e6 2.d4
King's Pawn Opening: King's Knight Variation,1.e4 e5 2.Nf3
Queen's Pawn Opening: Zukertort Variation,1.d4 d5 2.Nf3
"English Opening: Anglo-Indian, King's Knight Variation",1.c4 Nf6 2.Nf3
"English Opening: Anglo-Indian, Old Indian Formation",1.c4 Nf6 2.Nf3 d6
Nimzowitsch Defense: Scandinavian Variation,1.e4 Nc6 2.d4 d5
Vienna Game: Falkbeer Variation,1.e4 e5 2.Nc3 Nf6
Vienna Game: Max Lange Defense,1.e4 e5 2.Nc3 Nc6
Réti Opening: Réti Gambit Accepted,1.Nf3 d5 2.c4 dxc4
"Queen's Pawn Opening: Zukertort, Chigorin Variation",1.d4 d5 2.Nf3 Nc6
Old Indian Defense,1.d4 Nf6 2.c4 d6
French Defense: St. George Defense,1.e4 e6 2.d4 a6
"English Opening: Reversed Sicilian, Kramnik-Shirov Counterattack",1.c4 e5 2.Nc3 Bb4
English Opening: Agincourt Defense,1.c4 Nf6 2.Nc3 e6
King's Indian Attack: Sicilian Variation,1.Nf3 d5 2.g3 c5
"English Opening: Anglo-Indian, King's Knight, Queen's Indian Formation",1.c4 Nf6 2.Nf3 b6
Dutch Defense: Raphael Variation,1.d4 d5 2.Nc3 f5
Benoni Defense,1.d4 Nf6 2.c4 c5
King's Indian Attack: Keres Variation,1.Nf3 d5 2.g3 Bg4
English Opening: Caro-Kann Defensive System,1.Nf3 d5 2.c4 c6
Center Game Accepted,1.e4 e5 2.d4 exd4
Sicilian Defense: Old Sicilian Variation,1.e4 c5 2.Nf3 Nc6
"English Opening: Anglo-Indian, Anglo-Grünfeld Defense",1.c4 Nf6 2.Nc3 d5
Alekhine's Defense: Normal Variation,1.e4 Nf6 2.e5 Nd5
Queen's Pawn Opening: Rossolimo Variation,1.d4 d6 2.Nf3 g6
Petrov's Defense,1.e4 e5 2.Nf3 Nf6
Benoni Defense,1.d4 Nf6 2.c4 c5
Modern Defense: Gurgenidze Variation,1.e4 g6 2.d4 c6
Nimzowitsch Defense: Scandinavian Variation,1.e4 Nc6 2.d4 d5
Vienna Game: Falkbeer Variation,1.e4 e5 2.Nc3 Nf6
Vienna Game: Max Lange Defense,1.e4 e5 2.Nc3 Nc6
Réti Opening: Réti Gambit Accepted,1.Nf3 d5 2.c4 dxc4
"Queen's Pawn Opening: Zukertort, Chigorin Variation",1.d4 d5 2.Nf3 Nc6
English Opening: Caro-Kann Defensive System,1.Nf3 d5 2.c4 c6
"English Opening: Anglo-Indian, Old Indian Formation",1.c4 Nf6 2.Nf3 d6
King's Indian Attack: Keres Variation,1.Nf3 d5 2.g3 Bg4
Dutch Defense: Raphael Variation,1.d4 d5 2.Nc3 f5
Center Game Accepted,1.e4 e5 2.d4 exd4
Old Indian Defense,1.d4 Nf6 2.c4 d6
"English Opening: Anglo-Indian, King's Knight, Queen's Indian Formation",1.c4 Nf6 2.Nf3 b6
